vendor_name,item_name,review_period,reviewer_role,quality_rating,delivery_rating,responsiveness_rating,price_rating,qualitative_feedback,specific_issues,order_quantity,fulfilled_on_time
Apex Tech Supplies,Dell UltraSharp 34 Curved USB-C Monitor,Q1-2026,INVENTORY_MANAGER,8.4,8.6,8.9,7.8,"Reasonable experience with Apex for monitors. Units arrived in good condition. One monitor had a dead pixel cluster that was replaced promptly. No systemic issues.",,10,TRUE
Apex Tech Supplies,Dell UltraSharp 34 Curved USB-C Monitor,Q2-2026,DEPARTMENT_HEAD,8.5,8.7,8.9,7.9,"Apex delivered monitors satisfactorily. Good packaging for panels. One unit had a minor dead pixel that was replaced within 3 days. Pricing is slightly above ByteCraft for comparable product.",,6,TRUE
Apex Tech Supplies,General,Q2-2026,DEPARTMENT_HEAD,8.8,9.0,9.1,7.7,"Apex continues performing well for general hardware. Good account management and enterprise support. Their online portal for order tracking is excellent. Price sensitivity is the only recurring concern.",,15,TRUE
Silicon Edge Systems,General,Q3-2025,PROCUREMENT_OFFICER,8.8,9.5,9.3,8.2,"Silicon Edge is our fastest-moving hardware vendor. Their logistics network is exceptional we have never had a late delivery in 3 quarters. Product quality is excellent. Pricing is competitive especially on bulk orders.",,40,TRUE
Silicon Edge Systems,General,Q4-2025,DEPARTMENT_HEAD,9.0,9.6,9.4,8.5,"Silicon Edge has consistently impressed. Their vendor portal is well-organized quotation turnaround is under 4 hours and delivery is near-perfect. Strong recommendation for time-critical hardware procurement.",,25,TRUE
Silicon Edge Systems,General,Q1-2026,PROCUREMENT_OFFICER,9.1,9.5,9.2,8.3,"Continued excellence from Silicon Edge. Best delivery reliability we track 100 percent on-time for this quarter. Minor: their invoicing system has a bug with multi-line POs but finance team has a workaround.",,35,TRUE
Silicon Edge Systems,General,Q2-2026,INVENTORY_MANAGER,9.2,9.6,9.3,8.4,"Silicon Edge delivery performance in Q2 was exceptional all 12 orders delivered on or ahead of schedule. Their warehouse automation improvements are clearly working. Recommend maintaining preferred vendor status.",,28,TRUE
Silicon Edge Systems,Apple MacBook Pro 16 (M3 Max),Q3-2025,PROCUREMENT_OFFICER,9.5,9.6,9.4,8.0,"Silicon Edge is our primary MacBook supplier. Apple authorized reseller status means genuine products proper packaging and valid AppleCare warranties. Zero issues across 4 orders. Their delivery team handles Apple hardware with exceptional care.",,6,TRUE
Silicon Edge Systems,Apple MacBook Pro 16 (M3 Max),Q4-2025,DEPARTMENT_HEAD,9.6,9.7,9.5,8.2,"Silicon Edge Mac delivery is flawless. Units are configured to our MDM profile specs before shipping which saves significant IT onboarding time. Would not switch to another vendor for MacBooks.",,4,TRUE
Silicon Edge Systems,Dell Precision 5820 Workstation,Q2-2026,PROCUREMENT_OFFICER,8.8,9.3,9.1,8.1,"Silicon Edge delivered Dell Precision units without incident. Good packaging. 2-day faster delivery than expected. No defects reported by engineering team after 3 months of use.",,15,TRUE
Silicon Edge Systems,Dell Precision 5820 Workstation,Q1-2026,DEPARTMENT_HEAD,8.7,9.2,9.0,8.0,"Silicon Edge delivered 10 Dell Precision units with good packaging and no defects. Delivery speed was notably faster than Apex. This is becoming a strong alternative for this product category.",,10,TRUE
Silicon Edge Systems,Dell UltraSharp 34 Curved USB-C Monitor,Q1-2026,INVENTORY_MANAGER,8.9,9.4,9.2,8.0,"Silicon Edge monitors arrived well-packed with no damage. Panel uniformity was excellent across all 8 units. Color calibration reports included which is a nice touch.",,8,TRUE
Silicon Edge Systems,HP LaserJet High-Yield Toner (89X Black),Q3-2025,PROCUREMENT_OFFICER,8.8,9.1,9.0,8.3,"Silicon Edge delivered HP toners in good condition. Genuine HP products verified. Delivery was fast. However pricing was 22 percent above Budget Wholesale for identical product. Unless speed is critical Budget Wholesale is more economical for toner.",,20,TRUE
ByteCraft Computing,General,Q3-2025,PROCUREMENT_OFFICER,8.3,8.5,8.7,9.4,"ByteCraft offers excellent value. Their prices are consistently 8-15 percent below Apex for identical spec hardware. Quality is good for standard IT equipment. Particularly strong for developer workstations and peripheral accessories.",,30,TRUE
ByteCraft Computing,General,Q4-2025,INVENTORY_MANAGER,8.4,8.6,8.8,9.5,"ByteCraft is our budget-conscious hardware choice. Their procurement team is knowledgeable and transparent about product sourcing. No quality surprises. Would recommend for cost-sensitive procurement cycles.",,25,TRUE
ByteCraft Computing,General,Q1-2026,PROCUREMENT_OFFICER,8.5,8.7,8.9,9.3,"Continued good performance from ByteCraft. Pricing remains competitive. Delivery timelines have improved slightly. Their RFQ response time is among the fastest we track.",,20,TRUE
ByteCraft Computing,General,Q2-2026,DEPARTMENT_HEAD,8.6,8.8,9.0,9.4,"ByteCraft Q2 performance was strong. Three orders all on time all defect-free. Their customer portal updated shipping status in real-time which procurement team found very useful.",,22,TRUE
ByteCraft Computing,Dell Precision 5820 Workstation,Q3-2025,PROCUREMENT_OFFICER,9.1,8.8,9.0,9.2,"SCENARIO 1 - ByteCraft preferred for Dell Workstations: ByteCraft delivered 15 Dell Precision 5820 units with zero defects. All units fully tested before dispatch we receive a test report with each order. Their packing standards for desktop workstations are superior custom foam inserts GPU bracket locks secured. No returns no replacements no delays.",,15,TRUE
ByteCraft Computing,Dell Precision 5820 Workstation,Q4-2025,DEPARTMENT_HEAD,9.2,9.0,9.1,9.3,"ByteCraft continues to outperform on Dell Precision workstations specifically. Our IT team noted that ByteCraft units required zero pre-deployment remediation versus Apex consistent packing issues. For this specific product ByteCraft is now our standing preferred vendor.",,12,TRUE
ByteCraft Computing,Dell Precision 5820 Workstation,Q1-2026,PROCUREMENT_OFFICER,9.3,8.9,9.2,9.4,"Third consecutive perfect order from ByteCraft for Dell Precision workstations. 18 units 18 perfect deliveries. GPU brackets NVMe drives RAM seating all verified by their QC team before dispatch. This is the gold standard for this product line.",,18,TRUE
ByteCraft Computing,Dell Precision 5820 Workstation,Q2-2026,DEPARTMENT_HEAD,9.4,9.2,9.3,9.5,"SCENARIO 2 - ByteCraft excels on bulk: ByteCraft delivered 30 Dell Precision workstations on time in perfect condition. Their bulk pallet packaging system uses custom wooden crates with individual foam inserts. This is clearly designed for high-quantity workstation shipping. Zero defects.",,30,TRUE
ByteCraft Computing,Dell Precision 5820 Workstation,Q1-2026,INVENTORY_MANAGER,9.2,9.0,9.1,9.3,"SCENARIO 2 - ByteCraft bulk: 25-unit ByteCraft workstation order delivered on time in custom wooden crate packaging. IT team set up all units without a single hardware issue. ByteCraft appears to have purpose-built logistics for bulk desktop workstation shipments.",,25,TRUE
ByteCraft Computing,Dell UltraSharp 34 Curved USB-C Monitor,Q2-2026,PROCUREMENT_OFFICER,9.4,9.1,9.0,9.5,"ByteCraft delivered 12 curved monitors in perfect condition. Custom monitor packaging with corner protectors and center foam cradles. Panel alignment perfect across all units. Price was 12 percent below Silicon Edge for same spec.",,12,TRUE
ByteCraft Computing,Apple MacBook Pro 16 (M3 Max),Q1-2026,PROCUREMENT_OFFICER,8.2,8.5,8.7,9.0,"ByteCraft sourced MacBook Pro units but we noticed concern about whether units were fully Apple-authorized. AppleCare registration worked but hardware serial origin was harder to trace than with Silicon Edge. For Apple products Silicon Edge authorized reseller status is preferred.","AppleCare registration worked but Apple authorization chain less clear than Silicon Edge.",3,FALSE
ErgoComfort Workspaces,General,Q3-2025,PROCUREMENT_OFFICER,9.5,9.2,9.1,8.3,"ErgoComfort is our premium ergonomic furniture partner. Their product quality is exceptional Herman Miller authorized dealer with factory-direct certification. Lead times are slightly longer but worth it for the quality.",,20,TRUE
ErgoComfort Workspaces,General,Q4-2025,DEPARTMENT_HEAD,9.6,9.3,9.2,8.4,"Outstanding vendor for premium office furniture. ErgoComfort installation team is professional and knowledgeable. Zero defects across 4 furniture orders this year. Facilities team has specifically requested we maintain ErgoComfort as preferred vendor.",,15,TRUE
ErgoComfort Workspaces,General,Q1-2026,INVENTORY_MANAGER,9.4,9.1,9.0,8.2,"ErgoComfort maintains its high standard. On-time delivery is reliable. Their warranty service is industry-leading same-day on-site repair for chair mechanisms. Would not replace with a lower-cost option.",,25,TRUE
ErgoComfort Workspaces,General,Q2-2026,PROCUREMENT_OFFICER,9.5,9.2,9.1,8.3,"ErgoComfort Q2 performance unchanged consistently excellent. Facilities management team gave the highest satisfaction rating of any vendor this quarter.",,18,TRUE
ErgoComfort Workspaces,Ergonomic Herman Miller Aeron Chair,Q3-2025,PROCUREMENT_OFFICER,9.7,9.3,9.2,8.0,"ErgoComfort delivered 20 Herman Miller Aeron chairs with individual quality inspection certificates. All chairs fully assembled and adjusted to our spec before delivery. Zero returns across our entire Aeron fleet purchased through ErgoComfort.",,20,TRUE
ErgoComfort Workspaces,Ergonomic Herman Miller Aeron Chair,Q4-2025,DEPARTMENT_HEAD,9.8,9.4,9.3,8.1,"Best-in-class for Herman Miller chairs. ErgoComfort team configured each chair to individual employee ergonomic profiles a service no other vendor offered. This translates directly to lower workplace injury claims.",,10,TRUE
ErgoComfort Workspaces,Ergonomic Herman Miller Aeron Chair,Q2-2026,DEPARTMENT_HEAD,9.8,9.5,9.4,8.2,"ErgoComfort Q2 Aeron delivery 15 chairs all with individual packaging all with ErgoComfort assembly verification stickers. Facilities team reports 100 percent satisfaction from employees. Warranty registration handled by ErgoComfort directly.",,15,TRUE
ErgoComfort Workspaces,Steelcase Migration Height-Adjustable Desk,Q2-2026,PROCUREMENT_OFFICER,9.3,9.0,9.1,8.4,"Steelcase desks delivered by ErgoComfort on schedule. Professional installation included. All desks calibrated and tested before sign-off. Slightly outpaced by Modern Office on pricing but quality is marginally superior.",,8,TRUE
Modern Office Interiors,General,Q3-2025,PROCUREMENT_OFFICER,8.7,8.7,8.5,9.1,"Modern Office is our value-tier furniture vendor. Good quality for standard office furniture needs. Pricing is 10-15 percent below ErgoComfort. Delivery teams are professional though installation is not as thorough as ErgoComfort.",,30,TRUE
Modern Office Interiors,General,Q1-2026,DEPARTMENT_HEAD,8.8,8.8,8.6,9.2,"Solid performer. Modern Office is appropriate for non-executive furniture requirements. Their catalog selection for height-adjustable desks is excellent and delivery is reliable.",,20,TRUE
Modern Office Interiors,General,Q2-2026,INVENTORY_MANAGER,8.9,8.9,8.7,9.3,"Modern Office Q2 was solid. Two furniture deliveries completed on time. Minor delay on one order due to item being back-ordered but they proactively communicated and offered alternatives.",,12,TRUE
Modern Office Interiors,Steelcase Migration Height-Adjustable Desk,Q3-2025,PROCUREMENT_OFFICER,9.1,9.0,8.9,9.3,"Modern Office Interiors delivered Steelcase standing desks at competitive pricing with good installation. Their electric desk specialists calibrated each unit correctly. 12 desks 0 issues. Best price-to-performance for this product.",,12,TRUE
Modern Office Interiors,Steelcase Migration Height-Adjustable Desk,Q1-2026,DEPARTMENT_HEAD,9.2,9.1,9.0,9.4,"Modern Office delivered 15 Steelcase desks on time. Installation was clean. One desk had a loose cable management tray which was fixed on-site immediately. Overall excellent value for standing desk procurement.",,15,TRUE
Modern Office Interiors,Ergonomic Herman Miller Aeron Chair,Q4-2025,INVENTORY_MANAGER,8.6,8.7,8.5,9.1,"Modern Office Aeron chairs arrived in good condition. All adjustment mechanisms working. ErgoComfort still preferred for executive chairs due to their certification process but Modern Office is acceptable for general staff.",,12,TRUE
Modern Office Interiors,Ergonomic Herman Miller Aeron Chair,Q2-2026,PROCUREMENT_OFFICER,8.5,8.6,8.4,9.2,"Modern Office delivered Aeron chairs at 12 percent below ErgoComfort pricing. Quality was good but ErgoComfort individual certification service was absent. For budget-cycle purchases Modern Office is acceptable. For flagship executive chairs we still prefer ErgoComfort.",,8,TRUE
NetCore Global Systems,General,Q3-2025,PROCUREMENT_OFFICER,9.5,9.3,9.1,8.2,"NetCore is our primary Cisco certified reseller. Their networking expertise is unmatched pre-configuration staging and full IOS license activation before delivery. This saves our network team 2 days of setup per deployment.",,10,TRUE
NetCore Global Systems,General,Q4-2025,DEPARTMENT_HEAD,9.6,9.4,9.2,8.3,"NetCore technical capabilities are exceptional. Their Cisco engineers participate in our deployment planning at no extra cost. Equipment arrives pre-staged with our VLAN configs loaded. Best networking vendor we work with.",,8,TRUE
NetCore Global Systems,General,Q1-2026,PROCUREMENT_OFFICER,9.4,9.2,9.0,8.1,"Continued excellence from NetCore. Their pre-delivery staging service has become essential to our networking deployment process. No issues with any equipment.",,12,TRUE
NetCore Global Systems,Cisco Catalyst 9300 48-Port PoE+ Switch,Q3-2025,PROCUREMENT_OFFICER,9.7,9.5,9.3,8.0,"NetCore delivered Cisco 9300 switches with full staging VLANs configured QoS policies loaded SFP modules tested. Our network team deployed in 4 hours versus the typical 2-day setup from non-staged vendors. Exceptional service.",,4,TRUE
NetCore Global Systems,Cisco Catalyst 9300 48-Port PoE+ Switch,Q4-2025,INVENTORY_MANAGER,9.5,9.3,9.2,8.1,"SCENARIO 4 - Conflicting evidence positive: NetCore delivered 6 Cisco switches. Inventory team confirmed all serial numbers verified against Cisco Smart Licensing portal. No counterfeit risk. Pre-staged configs were perfect.",,6,TRUE
NetCore Global Systems,Cisco Catalyst 9300 48-Port PoE+ Switch,Q1-2026,DEPARTMENT_HEAD,5.2,6.0,5.5,7.8,"SCENARIO 4 - Conflicting evidence negative: Our department experienced significant issues with the latest NetCore Cisco order. 2 out of 6 switches had incorrect VLANs pre-configured causing a 6-hour outage during deployment. NetCore technical team corrected remotely but the incident eroded confidence. We are now cross-checking their pre-stage configs before deployment.","2 switches had incorrect VLAN configuration pre-loaded. Caused 6-hour network segment outage during deployment.",6,FALSE
NetCore Global Systems,Cisco Catalyst 9300 48-Port PoE+ Switch,Q2-2026,PROCUREMENT_OFFICER,7.8,8.2,7.9,8.0,"SCENARIO 4 - Mixed signal: Follow-up review after Q1-2026 incident. NetCore implemented new config template verification. Latest delivery of 4 switches had correct configurations. Their corrective action appears genuine. However confidence in their pre-staging process is still rebuilding after the VLAN outage incident.",,4,TRUE
NetCore Global Systems,Cisco Catalyst 9300 48-Port PoE+ Switch,Q3-2025,DEPARTMENT_HEAD,9.6,9.4,9.3,8.1,"NetCore switches are pre-staged perfectly. Our network team barely has to touch them VLAN configs QoS spanning tree all set correctly. This is the standard by which we now evaluate all networking vendors.",,3,TRUE
NetCore Global Systems,Fortinet FortiGate 100F Enterprise Firewall,Q2-2026,PROCUREMENT_OFFICER,9.4,9.2,9.1,8.2,"NetCore also supplies FortiGate firewalls. Delivery was good and equipment genuine. However Prime Telecom Fortinet-specific expertise and faster delivery make them our preferred choice for this specific product.",,2,TRUE
NetCore Global Systems,Fortinet FortiGate 100F Enterprise Firewall,Q1-2026,PROCUREMENT_OFFICER,9.2,9.0,9.1,8.0,"NetCore delivered FortiGate firewalls with FortiOS licensed and baseline security profiles configured. Installation team was professional. Audit logs enabled from day one.",,2,TRUE
Prime Telecom Direct,General,Q3-2025,PROCUREMENT_OFFICER,8.7,9.4,8.9,8.8,"Prime Telecom has excellent delivery speed typically 1-2 days faster than NetCore for networking hardware. Their focus on connectivity infrastructure means their stock levels are consistently high.",,8,TRUE
Prime Telecom Direct,General,Q1-2026,DEPARTMENT_HEAD,8.8,9.5,9.0,8.9,"Prime Telecom is reliable for urgent networking requirements. Their express delivery capability is unmatched. Quality is good though pre-staging is less comprehensive than NetCore.",,6,TRUE
Prime Telecom Direct,General,Q2-2026,PROCUREMENT_OFFICER,8.9,9.5,9.1,8.9,"Prime Telecom continues to deliver quickly. Their express shipping for urgent networking requirements has saved us on multiple occasions. Quality is consistently good.",,7,TRUE
Prime Telecom Direct,Fortinet FortiGate 100F Enterprise Firewall,Q3-2025,PROCUREMENT_OFFICER,9.2,9.5,9.1,9.0,"Prime Telecom is our preferred FortiGate vendor. Their Fortinet partnership means genuine firmware active threat intelligence subscriptions activated and proper FortiCare registration. 3 deployments with zero issues.",,2,TRUE
Prime Telecom Direct,Fortinet FortiGate 100F Enterprise Firewall,Q4-2025,INVENTORY_MANAGER,9.1,9.4,9.0,8.8,"Prime Telecom delivered FortiGate appliances ahead of schedule. Fortinet license keys pre-activated. Their security hardware logistics is clearly specialized extra protective packaging prevents static damage.",,2,TRUE
Prime Telecom Direct,Fortinet FortiGate 100F Enterprise Firewall,Q1-2026,DEPARTMENT_HEAD,9.3,9.6,9.2,9.1,"Prime Telecom delivered FortiGate appliances with security profiles pre-loaded. Their Fortinet-certified engineers provided a 2-hour deployment brief. Firewalls were live within same business day. Best FortiGate experience we have had.",,3,TRUE
Prime Telecom Direct,Cisco Catalyst 9300 48-Port PoE+ Switch,Q2-2026,PROCUREMENT_OFFICER,8.6,9.3,8.8,8.7,"Prime Telecom delivered Cisco switches competently but without NetCore staging depth. Switches were factory default we had to apply configs ourselves. Quality and delivery good but workflow efficiency lower than NetCore for this product.",,4,TRUE
Budget Wholesale Corp,General,Q3-2025,PROCUREMENT_OFFICER,8.1,8.4,8.3,9.6,"Budget Wholesale is our cost optimization vendor for consumables and office supplies. Pricing is unbeatable typically 20-30 percent below specialist vendors. Quality is adequate for non-critical supplies.",,200,TRUE
Budget Wholesale Corp,General,Q1-2026,INVENTORY_MANAGER,8.2,8.5,8.4,9.7,"Budget Wholesale maintains its price leadership. Bulk orders are fulfilled efficiently. They have improved their packaging for fragile items. Recommended for consumables office supplies and safety basics.",,150,TRUE
Budget Wholesale Corp,General,Q2-2026,DEPARTMENT_HEAD,8.3,8.6,8.5,9.7,"Budget Wholesale Q2: Best pricing in portfolio. Two bulk orders fulfilled accurately. No counterfeit concerns all products verified with manufacturer codes.",,180,TRUE
Budget Wholesale Corp,HP LaserJet High-Yield Toner (89X Black),Q3-2025,PROCUREMENT_OFFICER,9.3,9.1,9.0,9.7,"Budget Wholesale delivered 50 HP toner cartridges in perfect condition. All HP-original with valid HP warranty codes. Price was 25 percent below Silicon Edge for the same genuine product. No quality compromise yield tests match HP specifications.",,50,TRUE
Budget Wholesale Corp,HP LaserJet High-Yield Toner (89X Black),Q4-2025,INVENTORY_MANAGER,9.4,9.2,9.1,9.8,"Best toner supplier available. Budget Wholesale bulk toner pricing cannot be matched. We run quarterly bulk buys 100 cartridges per order with zero defects across 4 consecutive quarters.",,100,TRUE
Budget Wholesale Corp,HP LaserJet High-Yield Toner (89X Black),Q1-2026,PROCUREMENT_OFFICER,9.5,9.3,9.2,9.8,"Budget Wholesale toner continues to deliver. Quick delivery sealed HP packaging full yield. No rationale to switch vendors for this product category.",,75,TRUE
Budget Wholesale Corp,Industrial ANSI Safety Helmet with Face Visor,Q4-2025,PROCUREMENT_OFFICER,8.1,8.4,8.3,9.6,"Budget Wholesale safety helmets passed our Q4 compliance audit. ANSI certification current. Face visor integration tested. Good value for basic safety equipment. SafeGuard still preferred for specialized compliance requirements but Budget Wholesale handles high-volume basic safety gear well.",,75,TRUE
Budget Wholesale Corp,Industrial ANSI Safety Helmet with Face Visor,Q2-2026,PROCUREMENT_OFFICER,8.0,8.3,8.2,9.5,"Budget Wholesale provides acceptable safety helmets at significant cost savings vs SafeGuard. Helmets are ANSI certified and passed our safety compliance check. For high-volume basic safety equipment Budget Wholesale is cost-effective.",,50,TRUE
SafeGuard Industrial Safety,General,Q4-2024,PROCUREMENT_OFFICER,9.5,9.2,9.0,8.5,"SCENARIO 3 - Insufficient recent evidence: SafeGuard is an excellent safety equipment vendor. Their ANSI-certified product range is comprehensive and their safety engineers provide compliance documentation that our legal team requires. Quality is exceptional. Note: this is the most recent general review available.",,30,TRUE
SafeGuard Industrial Safety,Industrial ANSI Safety Helmet with Face Visor,Q3-2024,DEPARTMENT_HEAD,9.6,9.3,9.1,8.6,"SCENARIO 3 continued - Old review: SafeGuard delivered 100 ANSI safety helmets with individual impact test certificates. Integrated face visors were properly aligned. Our safety compliance officer confirmed all certifications current. No incidents reported from field teams using this equipment. Note: this review is from Q3-2024. No 2025 or 2026 reviews exist for SafeGuard which means evidence confidence must be rated LOW.","This is a 2024 review. Gap in 2025-2026 data means recent performance unknown.",100,TRUE
